시설명,카테고리1,카테고리2,위도,경도
001스테이지,전시/공연,영화/연극/공연,37.58153269,127.002336
05스튜디오,전시/공연,전시/기념관,37.78641343,126.698359
072골프훈련소,레저/체육/공원,대형체육시설,37.39403098,126.976543
1004섬수석미술관,전시/공연,전시/기념관,34.8800925,125.996874
123GC,레저/체육/공원,대형레저시설,37.64140522,126.903049
148아트스퀘어,전시/공연,영화/연극/공연,36.80700113,128.616142
153가족캠프,문화관광/명소,관광지,37.42870998,126.991199
168아트스퀘어,전시/공연,전시/기념관,36.97189318,127.933612
1987박종철기념관,전시/공연,전시/기념관,37.46938355,126.938152
1박2일 녹수다리 유원지,문화관광/명소,관광지,37.76365653,127.392225
1MSPACE,전시/공연,영화/연극/공연,37.55760078,126.938198
2.28민주운동기념회관,전시/공연,전시/기념관,35.85840431,128.590354
2001아울렛 구로 어린이 소극장,전시/공연,영화/연극/공연,37.49807255,126.862677
2012농어촌산업박람회,전시/공연,전시/기념관,37.66893348,126.745803
2012명품병원의료관광전시회,전시/공연,전시/기념관,37.66469545,126.742064
2012여수세계박람회재단,전시/공연,전시/기념관,34.75218956,127.746501
24시골프,레저/체육/공원,대형체육시설,37.44850127,126.787247
29아트,전시/공연,전시/기념관,37.5535257,127.194669
3.15국립묘지,전시/공연,전시/기념관,35.25266875,128.587535
3.15아트센터,전시/공연,영화/연극/공연,35.22581853,128.577106
3.15의거발원지기념관,전시/공연,전시/기념관,35.20709,128.577275
3.1순국기념관,전시/공연,전시/기념관,37.12630809,126.891596
3.1운동기념관,전시/공연,전시/기념관,37.06278466,127.175295
3.1의거기념관,전시/공연,전시/기념관,36.25369793,129.355422
30CUBE아쿠아,문화관광/명소,관광지,35.86736822,129.214133
313아트프로젝트,전시/공연,전시/기념관,37.59501819,126.989272
360도CC,레저/체육/공원,대형레저시설,37.30257197,127.739319
365계단,문화관광/명소,관광지,35.36445864,126.396027
365세이프타운,문화관광/명소,관광지,37.1025746,129.025226
38문화예술창작소,전시/공연,영화/연극/공연,38.01616895,127.217375
3D공룡체험박물관,전시/공연,전시/기념관,37.70844017,126.685174
3D과학체험관,전시/공연,전시/기념관,35.38987046,129.155758
3D블랙아트,전시/공연,전시/기념관,37.547246,127.078304
3RDMUSEUM,전시/공연,전시/기념관,37.55163429,126.919113
4.16기억전시관,전시/공연,전시/기념관,37.32516183,126.821402
4.19국립묘지4.19기념관,전시/공연,전시/기념관,37.64839067,127.009071
4.19혁명기념회관,전시/공연,전시/기념관,37.56744493,126.967694
40계단거리,문화관광/명소,관광지,35.10338417,129.035636
40계단문화관,전시/공연,전시/기념관,35.10500721,129.03448
4차산업혁명체험센터,전시/공연,전시/기념관,37.55467447,127.04049
4D무비카광주지사,문화관광/명소,관광지,37.42818857,127.237393
4EST수목원,문화관광/명소,관광지,34.45491283,126.596928
5.18기념공원,레저/체육/공원,공원,35.15574851,126.858584
5.18기념문화센터,전시/공연,영화/연극/공연,35.15830536,126.857556
5.18기념문화회관민주홀,전시/공연,영화/연극/공연,35.15830536,126.857556
5.18민주화운동기록관,전시/공연,전시/기념관,35.14956323,126.916756
5.18역사문화기록관,전시/공연,전시/기념관,35.14835809,126.91873
55아트센터,전시/공연,전시/기념관,34.87622164,126.517796
5월5일공방,전시/공연,영화/연극/공연,37.67271123,126.700633
6.25전쟁납북자기념관,전시/공연,전시/기념관,37.88897896,126.743209
6.25전쟁체험전시관,전시/공연,전시/기념관,38.58407952,128.373679
63빌딩63스카이아트미술관,전시/공연,전시/기념관,37.51966416,126.939909
63빌딩한화아쿠아플라넷,문화관광/명소,관광지,37.51966416,126.939909
6전단항공역사관,전시/공연,전시/기념관,35.99470352,129.412613
777레지던스,전시/공연,전시/기념관,37.72426086,126.948172
77수족관,문화관광/명소,관광지,36.02960372,129.367037
7PICTURES,전시/공연,전시/기념관,37.56566354,126.927005
88CC,레저/체육/공원,대형레저시설,37.30673267,127.160462
9.81파크,문화관광/명소,관광지,33.39003694,126.366509
93뮤지엄,전시/공연,전시/기념관,37.78979276,126.696331
가경골프랜드,레저/체육/공원,대형체육시설,36.62599603,127.435186
가계해수욕장,문화관광/명소,관광지,34.44637135,126.351805
가나1아뜰리에,전시/공연,전시/기념관,37.72666259,126.950087
가나미디어,전시/공연,영화/연극/공연,37.57292514,127.00162
가나아트,전시/공연,전시/기념관,37.57499572,126.983939
가나아트,전시/공연,전시/기념관,37.61224471,126.975182
가나아트파크,전시/공연,영화/연극/공연,37.72583554,126.949332
가나엔터프라이즈,전시/공연,전시/기념관,35.15071637,126.83543
가는게해수욕장,문화관광/명소,관광지,34.68778767,125.929008
가든골프,레저/체육/공원,대형체육시설,37.30998467,127.91612
가든스테이지,전시/공연,영화/연극/공연,35.19606181,129.213207
가람누리문화공원,레저/체육/공원,공원,38.07855269,127.213971
가람리조트사계절썰매장,레저/체육/공원,대형레저시설,37.83640294,128.018378
가람문학관,전시/공연,전시/기념관,36.03531462,127.084481
가람신작,전시/공연,영화/연극/공연,36.63659967,127.493922
가람아트홀,전시/공연,영화/연극/공연,35.12771884,129.092786
가람유원지,문화관광/명소,관광지,37.96499735,127.432902
가람화랑,전시/공연,전시/기념관,37.57428279,126.985614
가리산자연휴양림,문화관광/명소,관광지,37.86589954,127.998813
가리역터,문화관광/명소,관광지,35.13223646,126.493184
가마골소극장,전시/공연,영화/연극/공연,35.18835625,129.076123
가마기산성,문화관광/명소,명승지,36.73478576,127.575417
가마미해수욕장,문화관광/명소,관광지,35.40356865,126.415154
가마섬,문화관광/명소,관광지,37.18829938,127.684176
가마터갤러리,전시/공연,전시/기념관,37.60429952,127.393174
가마해안도로,문화관광/명소,관광지,33.30450761,126.810597
