시군명,시설구분명,시장명,전화번호,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
광명시,로컬푸드직매장,광명농협 로컬푸드 직매장,02-2169-8092,14316,경기도 광명시 금하로 450,경기도 광명시 소하동 1340-3번지,37.4483207050,126.8822936256
광명시,전통시장,,02-2614-0006,14220,경기도 광명시 광이로13번길 17-5,경기도 광명시 광명동 158-44,37.47994816,126.8561647
광명시,전통시장,,02-2614-5292,14291,경기도 광명시 광명로 831번지 4의1,경기도 광명시 광명동 342-12,37.47365412,126.8513997
고양시,로컬푸드직매장,신도농협 로컬푸드직매장,02-381-0100,10584,경기도 고양시 덕양구 백운길 22,경기도 고양시 덕양구 지축동 300번지,37.6523333917,126.9348636362
부천시,전통시장,,02-754-7389,14495,경기도 부천시 평천로 719,경기도 부천시 삼정동 314-13,37.51533797,126.7705826
수원시,전통시장,,031-1566-5491,16285,경기도 수원시 장안구 조원로89번길 8 조원동,경기도 수원시 장안구 조원동 743-7,37.30078361,127.0153385
수원시,전통시장,,031-211-3936,16531,경기도 수원시 영통구 매여울로53번길 50-1 매탄동,경기도 수원시 영통구 매탄동 172-72,37.27260269,127.0419222
화성시,로컬푸드직매장,태안농협 로컬푸드직매장,031-221-0211,18341,경기도 화성시 기안남로 70,경기도 화성시 기안동 457-22번지,37.2240858679,126.9841999469
수원시,전통시장,,031-224-7893,16461,경기도 수원시 팔달구 권선로 477 매산로2가,경기도 수원시 팔달구 매산로2가 90,37.26457142,127.0033544
수원시,전통시장,,031-237-0903,16566,경기도 수원시 권선구 세권로 185 권선동,경기도 수원시 권선동 1051,37.25609894,127.0245796
수원시,전통시장,,031-241-4578,16441,경기도 수원시 팔달구 동말로 72 화서동,경기도 수원시 팔달구 화서동 97-1,37.27857804,127.0020898
수원시,전통시장,,031-246-5638,16245,경기도 수원시 팔달구 수원천로258번길 10-12 지동,경기도 수원시 팔달구 지동 387-1,37.27602819,127.0207728
수원시,전통시장,,031-251-5153,16262,경기도 수원시 팔달구 정조로770번길 17 영동,경기도 수원시 팔달구 영동 6-14,37.27685617,127.0178859
수원시,로컬푸드직매장,수원로컬푸드직매장,031-252-0089,16211,경기도 수원시 장안구 광교산로509번길 13,경기도 수원시 장안구 상광교동 409-36번지,37.3271604403,127.0141302084
수원시,전통시장,,031-252-0290,16314,경기도 수원시 장안구 수성로261번길 16 정자동,경기도 수원시 장안구 정자동 73-10,37.29069027,127.0008813
수원시,전통시장,,031-252-7800,16269,경기도 수원시 장안구 수성로382번길 24 영화동,경기도 수원시 장안구 영화동 250-1,37.29314857,127.0139656
수원시,전통시장,,031-254-7795,16245,경기도 수원시 팔달구 수원천로 266-4 지동,경기도 수원시 팔달구 지동 400-12,37.27727659,127.0196391
수원시,전통시장,,031-255-5226,16262,경기도 수원시 팔달구 정조로758번길 24 영동,경기도 수원시 팔달구 영동 43-5,37.27562604,127.0181079
수원시,전통시장,,031-256-0202,16243,경기도 수원시 팔달구 팔달문로 19 지동,경기도 수원시 팔달구 지동 402-2,37.27788344,127.0196281
수원시,전통시장,,031-258-0336,16463,경기도 수원시 팔달구 행궁로 88 교동,경기도 수원시 팔달구 교동 3-6,37.27463697,127.0155247
용인시,로컬푸드직매장,수지농협 로컬푸드직매장,031-263-6817,16835,경기도 용인시 수지구 문정로 20,경기도 용인시 수지구 풍덕천동 719-4번지,37.3227013862,127.0964168517
용인시,전통시장,,031-266-2853,16869,경기도 용인시 수지구 용구대로 2725-3,경기도 용인시 수지구 죽전동 1003-52번지 일원,37.328761,127.108104
수원시,전통시장,,031-268-7526,16349,경기도 수원시 장안구 파장로82번길 9 파장동,경기도 수원시 장안구 파장동 572-35,37.30710826,126.9921315
용인시,로컬푸드직매장,구성농협 로컬푸드직매장,031-283-9483,16920,경기도 용인시 기흥구 구성로 40,경기도 용인시 기흥구 마북동 325-3번지,37.2942492566,127.1140568204
용인시,로컬푸드직매장,기흥농협 구갈지점 로컬푸드직매장,031-285-4257,16971,경기도 용인시 기흥구 신구로64번길 12,경기도 용인시 기흥구 구갈동 401-1번지,37.2775451602,127.1109160293
수원시,전통시장,,031-308-9944,16220,경기도 수원시 장안구 월드컵로428번길 10 연무동,경기도 수원시 장안구 연무동 249,37.29396045,127.0259771
시흥시,전통시장,,031-310-4502,15069,경기도 시흥시 도일로 100의 4,경기도 시흥시 거모동 1669-22,37.339515,126.7840757
시흥시,전통시장,,031-311-7006,14948,경기도 시흥시 삼미시장2길 35,경기도 시흥시 신천동 738-4,37.44040747,126.7838201
시흥시,로컬푸드직매장,부천시흥원예농협 로컬푸드직매장,031-311-8600,14931,경기도 시흥시 수인로 2966,경기도 시흥시 매화동 39-1번지,37.4209383352,126.8169479595
용인시,로컬푸드직매장,용인농협 로컬푸드직매장,031-321-7100,17050,경기도 용인시 처인구 금령로55번길 3,경기도 용인시 처인구 김량장동 254-413번지,37.2353356950,127.2020784985
용인시,로컬푸드직매장,모현농협 로컬푸드직매장,031-333-8515,17035,경기도 용인시 처인구 모현읍 백옥대로 2373,경기도 용인시 처인구 모현읍 왕산리 815-2번지,37.3355802254,127.2488022767
용인시,로컬푸드직매장,포곡농협 로컬푸드직매장,031-334-2860,17028,경기도 용인시 처인구 포곡읍 포곡로246번길 8,경기도 용인시 처인구 포곡읍 삼계리 578번지,37.2770097314,127.2293021588
용인시,전통시장,,031-336-1110,17052,경기도 용인시 처인구 금령로99번길 9,경기도 용인시 처인구 김량장동 133-65번지 일원,37.236506,127.207071
